time,s4
4.65,-1.021019
4.66,-1.021727
4.67,-1.022333
4.68,-1.022837
4.69,-1.023239
4.7,-1.023538
4.71,-1.023735
4.72,-1.023829
4.73,-1.023822
4.74,-1.023711
4.75,-1.023499
4.76,-1.023184
4.77,-1.022767
4.78,-1.022247
4.79,-1.021625
4.8,-1.020901
4.81,-1.020075
4.82,-1.019146
4.83,-1.018116
4.84,-1.016984
4.85,-1.01575
4.86,-1.014414
4.87,-1.012977
4.88,-1.011438
4.89,-1.009798
4.9,-1.008057
4.91,-1.006214
4.92,-1.004271
4.93,-1.002228
4.94,-1.000084
4.95,-0.9978394
4.96,-0.9954951
4.97,-0.9930511
4.98,-0.9905074
4.99,-0.9878645
5.0,-0.9851226
5.01,-0.9822818
5.02,-0.9793425
5.03,-0.9763051
5.04,-0.9731696
5.05,-0.9699366
5.06,-0.9666062
5.07,-0.9631788
5.08,-0.9596548
5.09,-0.9560345
5.1,-0.9523182
5.11,-0.9485063
5.12,-0.9445991
5.13,-0.9405972
5.14,-0.9365007
5.15,-0.9323102
5.16,-0.9280261
5.17,-0.9236487
5.18,-0.9191785
5.19,-0.9146159
5.2,-0.9099615
5.21,-0.9052156
5.22,-0.9003786
5.23,-0.8954512
5.24,-0.8904337
5.25,-0.8853267
5.26,-0.8801306
5.27,-0.874846
5.28,-0.8694734
5.29,-0.8640133
5.3,-0.8584663
5.31,-0.8528329
5.32,-0.8471136
5.33,-0.841309
5.34,-0.8354197
5.35,-0.8294463
5.36,-0.8233894
5.37,-0.8172495
5.38,-0.8110273
5.39,-0.8047233
5.4,-0.7983383
5.41,-0.7918727
5.42,-0.7853274
5.43,-0.7787028
5.44,-0.7719998
5.45,-0.7652188
5.46,-0.7583607
5.47,-0.751426
5.48,-0.7444155
5.49,-0.7373298
5.5,-0.7301698
5.51,-0.7229359
5.52,-0.7156291
5.53,-0.70825
5.54,-0.7007993
5.55,-0.6932778
5.56,-0.6856862
5.57,-0.6780253
5.58,-0.6702958
5.59,-0.6624985
5.6,-0.6546342
5.61,-0.6467036
5.62,-0.6387076
5.63,-0.6306469
5.64,-0.6225223
5.65,-0.6143347
5.66,-0.6060848
5.67,-0.5977735
5.68,-0.5894016
5.69,-0.5809699
5.7,-0.5724792
5.71,-0.5639305
5.72,-0.5553245
5.73,-0.5466621
5.74,-0.5379442
5.75,-0.5291717
5.76,-0.5203453
5.77,-0.511466
5.78,-0.5025347
5.79,-0.4935522
5.8,-0.4845195
5.81,-0.4754374
5.82,-0.4663069
5.83,-0.4571288
5.84,-0.4479041
5.85,-0.4386337
5.86,-0.4293185
5.87,-0.4199595
5.88,-0.4105575
5.89,-0.4011135
5.9,-0.3916284
5.91,-0.3821033
5.92,-0.372539
5.93,-0.3629365
5.94,-0.3532967
5.95,-0.3436206
5.96,-0.3339092
5.97,-0.3241634
5.98,-0.3143843
5.99,-0.3045727
6.0,-0.2947297
6.01,-0.2848562
6.02,-0.2749533
6.03,-0.2650219
6.04,-0.2550629
6.05,-0.2450775
6.06,-0.2350666
6.07,-0.2250312
6.08,-0.2149722
6.09,-0.2048908
6.1,-0.1947878
6.11,-0.1846644
6.12,-0.1745215
6.13,-0.1643601
6.14,-0.1541813
6.15,-0.143986
6.16,-0.1337754
6.17,-0.1235503
6.18,-0.1133118
6.19,-0.103061
6.2,-0.09279887
6.21,-0.08252643
6.22,-0.0722447
6.23,-0.06195472
6.24,-0.05165751
6.25,-0.04135411
6.26,-0.03104555
6.27,-0.02073285
6.28,-0.01041704
6.29,-9.916415e-05
6.3,0.01021976
6.31,0.02053869
6.32,0.03085659
6.33,0.04117245
6.34,0.05148522
6.35,0.06179387
6.36,0.07209737
6.37,0.08239469
6.38,0.09268481
6.39,0.1029667
6.4,0.1132393
6.41,0.1235016
6.42,0.1337526
6.43,0.1439912
6.44,0.1542165
6.45,0.1644273
6.46,0.1746228
6.47,0.1848018
6.48,0.1949633
6.49,0.2051064
6.5,0.2152299
6.51,0.225333
6.52,0.2354145
6.53,0.2454735
6.54,0.255509
6.55,0.2655199
6.56,0.2755052
6.57,0.285464
6.58,0.2953953
6.59,0.305298
6.6,0.3151711
6.61,0.3250138
6.62,0.3348249
6.63,0.3446035
6.64,0.3543487
6.65,0.3640593
6.66,0.3737346
6.67,0.3833734
6.68,0.3929749
6.69,0.402538
6.7,0.4120618
6.71,0.4215454
6.72,0.4309878
6.73,0.440388
6.74,0.4497451
6.75,0.4590582
6.76,0.4683263
6.77,0.4775485
6.78,0.4867239
6.79,0.4958515
6.8,0.5049304
6.81,0.5139598
6.82,0.5229387
6.83,0.5318661
6.84,0.5407413
6.85,0.5495633
6.86,0.5583312
6.87,0.5670442
6.88,0.5757013
6.89,0.5843017
6.9,0.5928446
6.91,0.601329
6.92,0.6097542
6.93,0.6181192
6.94,0.6264232
6.95,0.6346654
6.96,0.642845
6.97,0.6509611
6.98,0.659013
6.99,0.6669997
7.0,0.6749205
7.01,0.6827747
7.02,0.6905613
7.03,0.6982797
7.04,0.705929
7.05,0.7135085
7.06,0.7210174
7.07,0.7284549
7.08,0.7358204
7.09,0.743113
7.1,0.750332
7.11,0.7574767
7.12,0.7645464
7.13,0.7715403
7.14,0.7784578
7.15,0.7852981
7.16,0.7920606
7.17,0.7987445
7.18,0.8053493
7.19,0.8118741
7.2,0.8183185
7.21,0.8246816
7.22,0.8309629
7.23,0.8371618
7.24,0.8432776
7.25,0.8493096
7.26,0.8552573
7.27,0.8611201
7.28,0.8668973
