"time{s}","Gain\output"
9.89999999999998,-0.700616069768493
9.99999999999998,-0.84850692875778
10.1,-0.989391627049382
10.2,-1.12179125605341
10.3,-1.24429696878694
10.4,-1.35558476895993
10.5,-1.45442959944506
10.6,-1.53971858224059
10.7,-1.61046326904166
10.8,-1.66581077002034
10.9,-1.70505363830859
11,-1.72763839889664
11.1,-1.73317262310161
11.2,-1.7214304633176
11.3,-1.69235657730259
11.4,-1.64606838665439
11.5,-1.58285663023317
11.6,-1.50318418994541
11.7,-1.40768318335532
11.8,-1.29715033486577
11.9,-1.17254065454267
12,-1.03495947087091
12.1,-0.885652880653719
12.2,-0.725996695727824
12.3,-0.557483981995391
12.4,-0.38171130130568
12.5,-0.200363780796015
12.6,-0.0151991472732933
12.7,0.171969124057389
12.8,0.359289386860803
12.9,0.544889958423644
13,0.726897636117877
13.1,0.903456414227874
13.2,1.07274621597669
13.3,1.23300145358323
13.4,1.38252922903
13.5,1.51972698994094
13.6,1.64309945856158
13.7,1.75127465728281
13.8,1.84301886141843
13.9,1.91725031898121
14,1.97305158792981
14.1,2.0096803536886
14.2,2.0265786035681
14.3,2.0233800499107
14.4,1.99991571021763
14.5,1.95621757002544
14.6,1.89252027273109
14.7,1.80926079973647
14.8,1.70707612401455
14.9,1.58679884029526
15,1.44945079533583
15.1,1.29623476197344
15.2,1.12852422065769
15.3,0.947851331722216
15.4,0.755893200580159
15.5,0.554456556120881
15.6,0.345460979655801
15.7,0.130920837629512
15.8,-0.0870739141933349
15.9,-0.306377874392477
16,-0.524811095449686
16.1,-0.740180537762969
16.2,-0.950301869121756
16.3,-1.15302139510291
16.4,-1.34623790239285
16.5,-1.52792419573176
16.6,-1.69614811004675
16.7,-1.84909278240441
16.8,-1.98507597366161
16.9,-2.10256823709476
17,-2.2002097407913
17.1,-2.27682556211689
17.2,-2.33143928603456
17.3,-2.36328475433107
17.4,-2.37181582976723
17.5,-2.35671405766008
17.6,-2.31789412725526
17.7,-2.25550705627384
17.8,-2.16994104401986
17.9,-2.06181996120315
18,-1.93199946794624
18.1,-1.7815607750773
18.2,-1.61180208752889
18.3,-1.42422779222971
18.4,-1.22053547605524
18.5,-1.00260088195848
18.6,-0.772460933101162
18.7,-0.53229497542426
18.8,-0.284404408416347
18.9,-0.0311908916541905
19,0.224866669192129
19.1,0.481236138954991
19.2,0.735356942025931
19.3,0.984665383707321
19.4,1.22662025596845
19.5,1.45872847439251
19.6,1.67857049025688
19.7,1.88382522137733
19.8,2.07229424759521
19.9,2.24192502159932
20,2.39083285312747
20.1,2.51732143443963
20.2,2.61990168722052
20.3,2.69730872565701
20.4,2.74851674722129
20.5,2.77275168152901
20.6,2.76950144836451
20.7,2.73852369838472
20.8,2.67985093392129
20.9,2.59379293247401
21,2.48093642168751
21.1,2.34214198157628
21.2,2.17853817724817
21.3,1.9915129531043
21.4,1.78270234718794
21.5,1.55397661174055
21.6,1.30742385282127
21.7,1.04533132778459
21.8,0.770164564219697
21.9,0.484544487376957
22,0.191222764892021
22.1,-0.106944402466686
22.2,-0.407023797474313
22.3,-0.706033748457272
22.4,-1.00097346146549
22.5000000000001,-1.28885283698913
22.6000000000001,-1.56672247789812
22.7000000000001,-1.83170359043722
22.8000000000001,-2.08101747819734
22.9000000000001,-2.31201433005308
23.0000000000001,-2.52220100712685
23.1000000000001,-2.70926754090009
23.2000000000001,-2.87111206460206
23.3000000000001,-3.00586391289503
23.4000000000001,-3.11190464054198
23.5000000000001,-3.18788672905998
23.6000000000001,-3.23274977117256
23.7000000000001,-3.24573394599454
23.8000000000001,-3.2263906231048
23.9000000000001,-3.17458996075511
24.0000000000001,-3.09052539217437
24.1000000000001,-2.97471492398608
24.2000000000001,-2.82799920187604
24.3000000000001,-2.65153633052615
24.4000000000001,-2.44679346715749
24.5000000000001,-2.21553524048358
24.6000000000001,-1.95980907913809
24.7000000000001,-1.68192756538776
24.8000000000001,-1.38444796084605
24.9000000000001,-1.07014908065047
25.0000000000001,-0.742005720846419
25.1000000000001,-0.403160870235869
25.2000000000001,-0.0568959624168535
25.3000000000001,0.29340055410452
25.4000000000001,0.644266030250063
25.5000000000001,0.99219750085456
25.6000000000001,1.33368631115656
25.7000000000001,1.66525314645001
25.8000000000001,1.98348311863189
25.9000000000001,2.28506055934928
26.0000000000001,2.56680316888034
26.1000000000001,2.82569517281792
26.2000000000001,3.05891914506669
26.3000000000001,3.26388616558728
26.4000000000001,3.4382639946572
